physact,deg_urb,sex,age,unit,time\geo	EU27_2020 	EU28 	BG 	CZ 	DK 	DE 	EE 	IE 	EL 	ES 	FR 	HR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	IS 	NO 	UK 	TR 
MV_AERO,DEG1,F,TOTAL,PC,2014	26.0 	26.7 	7.6 	21.1 	66.1 	46.2 	18.6 	23.8 	14.4 	29.2 	17.2 	18.1 	14.1 	23.6 	19.3 	15.3 	35.3 u	24.5 	30.0 	46.2 	15.2 	13.7 	2.8 	43.4 	25.2 	55.6 	52.8 	63.5 	58.7 	30.0 	0 
MV_AERO,DEG1,F,Y15-24,PC,2014	38.6 	37.2 	33.5 	40.7 	77.6 	58.3 	34.1 	27.2 u	23.9 	34.6 	23.5 	34.8 	27.6 	32.2 	42.9 	46.3 	42.3 u	42.5 	37.9 	59.2 	26.0 	28.9 	13.7 	59.0 	44.2 	65.7 	69.9 	75.8 	65.4 	30.4 	0 
MV_AERO,DEG1,F,Y18-24,PC,2014	36.2 	35.0 	30.8 	45.5 u	75.8 	55.3 	26.9 	18.8 u	22.9 	33.1 	19.6 	30.5 u	27.1 	34.3 	37.4 	43.2 	35.0 u	37.4 	40.9 	58.2 	23.7 	20.3 	11.0 	58.7 	43.2 	63.6 	60.5 	73.0 	62.9 	29.9 	0 
MV_AERO,DEG1,F,Y18-29,PC,2014	34.6 	34.1 	25.1 	38.5 	77.0 	50.8 	29.7 	22.4 	25.5 	36.7 	20.0 	29.8 	26.7 	28.8 	34.1 	33.4 	37.6 u	34.1 	38.0 	48.6 	21.8 	18.5 	7.2 	60.9 	43.0 	62.4 	59.6 	71.1 	64.8 	31.8 	0 
MV_AERO,DEG1,F,Y18-44,PC,2014	29.2 	29.5 	12.6 	33.7 	71.6 	48.4 	24.9 	25.8 	20.3 	31.1 	14.8 	19.2 	20.8 	27.5 	28.9 	22.4 	33.1 u	30.2 	32.5 	45.0 	21.6 	14.5 	4.3 	47.3 	34.4 	58.5 	53.0 	67.7 	61.5 	30.9 	0 
MV_AERO,DEG1,F,Y18-64,PC,2014	28.0 	28.7 	8.7 	27.1 	69.9 	48.6 	21.4 	24.9 	17.8 	31.2 	17.5 	19.1 	17.0 	25.2 	23.4 	17.4 	37.2 u	28.2 	32.9 	47.5 	17.7 	14.3 	2.7 	47.3 	29.4 	57.2 	53.9 	66.5 	62.0 	32.2 	0 
MV_AERO,DEG1,F,Y25-34,PC,2014	29.9 	30.3 	13.5 	31.3 	74.0 	48.9 	28.0 	27.7 	24.6 	33.3 	15.9 	19.1 u	21.9 	23.6 	32.1 	14.8 	32.1 u	29.9 	27.3 	38.0 	22.0 	16.1 	2.8 	49.0 	34.0 	55.4 	50.1 	66.5 	62.6 	32.0 	0 
MV_AERO,DEG1,F,Y25-64,PC,2014	26.9 	27.9 	6.5 	25.4 	68.4 	47.6 	20.6 	25.9 	17.1 	30.9 	17.2 	16.8 	16.0 	24.0 	21.9 	13.5 	37.5 u	27.0 	31.4 	45.5 	17.0 	13.5 	1.6 	45.7 	27.0 	55.8 	53.1 	65.4 	61.8 	32.5 	0 
MV_AERO,DEG1,F,Y35-44,PC,2014	24.9 	25.8 	6.1 	31.9 	63.0 	43.3 	19.8 	27.5 	14.8 	28.7 	10.8 	10.9 	17.6 	28.6 	21.4 	17.6 	33.3 	27.3 	31.7 	43.3 	20.1 	10.7 	2.6 	38.9 	29.4 	58.0 	51.5 	65.6 	58.8 	30.2 	0 
MV_AERO,DEG1,F,Y45-54,PC,2014	27.3 	28.6 	6.1 	21.0 	72.3 	46.6 	21.6 	24.4 	15.9 	32.7 	19.9 	20.9 	12.5 	24.2 	17.7 	11.2 	37.0 u	35.9 	29.4 	45.6 	15.1 	13.9 	0.4 	47.9 	29.8 	54.9 	56.7 	65.5 	64.9 	34.5 	0 
