D_GHG_B.V_PARENT_COMPANY_INFO.FACILITY_ID,D_GHG_B.V_PARENT_COMPANY_INFO.YEAR,D_GHG_B.V_PARENT_COMPANY_INFO.PARENT_COMPANY_NAME,D_GHG_B.V_PARENT_COMPANY_INFO.PARENT_CO_STREET_ADDRESS,D_GHG_B.V_PARENT_COMPANY_INFO.PARENT_CO_CITY,D_GHG_B.V_PARENT_COMPANY_INFO.PARENT_CO_STATE,D_GHG_B.V_PARENT_COMPANY_INFO.PARENT_CO_ZIP,D_GHG_B.V_PARENT_COMPANY_INFO.PARENT_CO_PERCENT_OWN,Unnamed: 8
1001829,,National Fuel Gas Company,6363 Main Street,Williamsville,NY,14221,100,
1001818,2012,US GOVERNMENT,,,,,,
1001818,2014,US GOVERNMENT,,,,,100,
1001818,2015,US GOVERNMENT,,,,,,
9999,2019,Random Company Name,1 Prospect Street,Providence,RI,02912,100,
1001811,2020,BROWN & PROVIDENCE PLANTATIONS,1 Prospect Street,Providence,RI,,100,
1001799,2013,Chevron USA Inc.,11111 S. Wilcrest,Houston,TX,77099,1.2,
1001799,2013,"ConocoPhillips Alaska, Inc.",700 G Street ,Anchorage,AK,99501,36.1,
1001799,2013,BP AMERICA INC,501 Westlake Park Boulevard,Houston,TX,77079,26.4,
1001799,2013,EXXONMOBIL CORP,"3301 C Street, Suite 400",Anchorage ,AK,99503,36.4,
1001799,2000,,"3301 C Street, Suite 400",Anchorage ,AK,99503,100,
