MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE
4,2000,999,281424600,138056128,143368472,112478128,115628370,16971838,18733033,1332962,1330889,5127697,5461425,235205,227331,1910298,1987424,119894001,126224223,95697274,99879722,16293733,18019983,1036267,1061197,5012924,5343737,185619,181484,1668184,1738100,18162127,17144249,16780854,15748648,678105,713050,296695,269692,114773,117688,49586,45847,242114,249324
4,2000,0,3805718,1949050,1856668,1492186,1415163,291477,282702,23723,22582,70510,67182,4151,3936,67003,65103,1554434,1480223,1135191,1074964,274068,266105,17228,16438,67356,64138,2910,2752,57681,55826,394616,376445,356995,340199,17409,16597,6495,6144,3154,3044,1241,1184,9322,9277
4,2000,1,3820647,1953136,1867511,1496086,1422284,294701,286083,23998,22934,69060,69154,4239,4055,65052,63001,1572816,1502140,1151875,1092310,277760,269485,17675,17017,66012,66174,3078,2882,56416,54272,380320,365371,344211,329974,16941,16598,6323,5917,3048,2980,1161,1173,8636,8729
4,2000,2,3790534,1939037,1851497,1482944,1409010,295966,285507,23357,22631,71200,70472,4155,3892,61415,59985,1565050,1493975,1143842,1085289,279534,269737,17290,16723,68278,67615,3029,2800,53077,51811,373987,357522,339102,323721,16432,15770,6067,5908,2922,2857,1126,1092,8338,8174
4,2000,3,3832855,1958991,1873864,1503352,1429256,296488,287904,23647,22904,72170,72214,4176,3890,59158,57696,1585022,1516389,1163794,1104992,280217,272192,17473,17007,69290,69411,2990,2796,51258,49991,373969,357475,339558,324264,16271,15712,6174,5897,2880,2803,1186,1094,7900,7705
4,2000,4,3926400,2010693,1915707,1543765,1462539,306742,297260,23984,23013,73383,72582,4275,4111,58544,56202,1633125,1554957,1200617,1134663,290353,281567,17853,17179,70497,69873,3085,3007,50720,48668,377568,360750,343148,327876,16389,15693,6131,5834,2886,2709,1190,1104,7824,7534
4,2000,5,3965175,2031106,1934069,1555129,1473375,317962,307999,24534,23533,72896,70400,4409,4137,56176,54625,1656341,1576311,1214454,1148349,301586,292236,18311,17602,70140,67677,3179,3023,48671,47424,374765,357758,340675,325026,16376,15763,6223,5931,2756,2723,1230,1114,7505,7201
4,2000,6,4019782,2058266,1961516,1572453,1490387,329430,320215,25143,24725,72851,69119,4397,4322,53992,52748,1686059,1605298,1233707,1166956,313128,304200,19039,18703,70143,66521,3242,3264,46800,45654,372207,356218,338746,323431,16302,16015,6104,6022,2708,2598,1155,1058,7192,7094
4,2000,7,4118211,2109896,2008315,1611104,1526035,342278,330728,26239,25730,73334,70130,4449,4270,52492,51422,1736760,1651071,1271350,1201228,326003,314997,19928,19541,70625,67508,3289,3159,45565,44638,373136,357244,339754,324807,16275,15731,6311,6189,2709,2622,1160,1111,6927,6784
4,2000,8,4179294,2137874,2041420,1636815,1556395,344237,334223,27205,26596,73436,69394,4549,4177,51632,50635,1770320,1689005,1301906,1236067,328382,318648,20942,20476,70803,66834,3469,3158,44818,43822,367554,352415,334909,320328,15855,15575,6263,6120,2633,2560,1080,1019,6814,6813
4,2000,9,4267393,2186337,2081056,1677063,1588953,351509,341146,27700,27008,74447,69900,4582,4484,51036,49565,1822091,1732871,1345481,1272915,335509,325592,21331,20736,71817,67305,3473,3368,44480,42955,364246,348185,331582,316038,16000,15554,6369,6272,2630,2595,1109,1116,6556,6610
4,2000,10,4274122,2191282,2082840,1681675,1591079,353140,342371,28190,27169,74272,69905,4470,4347,49535,47969,1839835,1746665,1361797,1285701,337815,327336,21936,21096,71764,67542,3422,3336,43101,41654,351447,336175,319878,305378,15325,15035,6254,6073,2508,2363,1048,1011,6434,6315
4,2000,11,4115158,2108201,2006957,1623696,1539094,331789,322142,26928,26052,75334,70473,4394,4041,46060,45155,1780460,1694017,1325617,1254330,317520,308548,20871,20356,72972,68219,3379,3108,40101,39456,327741,312940,298079,284764,14269,13594,6057,5696,2362,2254,1015,933,5959,5699
4,2000,12,4075909,2087265,1988644,1615938,1532012,323058,314163,26760,25853,73156,69129,4337,4082,44016,43405,1766724,1681458,1323545,1252497,309508,300960,21077,20086,70835,66922,3356,3175,38403,37818,320541,307186,292393,279515,13550,13203,5683,5767,2321,2207,981,907,5613,5587
4,2000,13,4010930,2054044,1956886,1596339,1513913,313229,303793,26199,25306,71468,68050,4120,3950,42689,41874,1745004,1659657,1314464,1243422,300127,291056,20592,19637,69313,65930,3222,3070,37286,36542,309040,297229,281875,270491,13102,12737,5607,5669,2155,2120,898,880,5403,5332
4,2000,14,4052306,2079600,1972706,1620137,1528617,313491,304095,26435,25180,73820,69832,4268,4013,41449,40969,1771163,1679989,1338098,1261934,300801,291717,20861,19711,71789,67743,3379,3152,36235,35732,308437,292717,282039,266683,12690,12378,5574,5469,2031,2089,889,861,5214,5237
4,2000,15,4019472,2065161,1954311,1611395,1517820,308763,296901,26158,25123,74588,70810,4363,3925,39894,39732,1757235,1665420,1329371,1254003,296356,285104,20622,19726,72473,68770,3457,3100,34956,34717,307926,288891,282024,263817,12407,11797,5536,5397,2115,2040,906,825,4938,5015
4,2000,16,3975074,2048609,1926465,1597986,1493540,305914,293078,25746,24786,75750,72538,4422,3992,38791,38531,1732499,1640036,1307822,1231907,293509,281303,20149,19465,73716,70541,3504,3167,33799,33653,316110,286429,290164,261633,12405,11775,5597,5321,2034,1997,918,825,4992,4878
4,2000,17,4046050,2091303,1954747,1635123,1518050,308665,295196,26815,24853,78465,74582,4314,4005,37921,38061,1749987,1658203,1320811,1246492,295884,283195,20672,19610,76233,72527,3318,3142,33069,33237,341316,296544,314312,271558,12781,12001,6143,5243,2232,2055,996,863,4852,4824
